Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Indicator
China,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.818906377665068,0.80132477207602,0.637610112464492,1.311346848862682,1.37277248633967,0.85316619239212,1.065704216418127,1.233525381517884,1.222964303843876,1.174248221618667,1.8272415871353733,1.787619509462846,1.2818709447318208,2.0961279111916444,2.0554009193669143,2.081788178180262,2.1685352582636925,2.5058275986204412,2.8478579786764557,0.0,Expenditure on biodiversity & landscape protection
Germany,0.907363520724582,0.838303719201824,0.761339010274584,0.697967653220282,0.66409967564628,1.4272506151942312,1.3788468796892115,1.2375120557567383,1.2241077605501973,1.1450948499902769,1.1181177375443017,1.1219749442366713,1.0231441659498717,1.0172433427973395,1.1672588552293175,1.122055841522383,1.169084779993762,1.1467557397889494,1.16342682341224,1.1389512302599902,1.1100463290352858,1.1119263479586818,1.096058962524027,1.1522976125035274,1.189430103130776,1.357067976731279,1.151662386339974,Expenditure on biodiversity & landscape protection
France,1.1788819090630758,1.2006235097016118,1.2843669093741608,1.2488386680632242,1.2752328873896404,1.3920065467998128,1.4920036406189052,1.5161582261062119,1.6161494751224366,1.6747465843984135,1.7357672128455375,1.7913038490902524,1.7385235092924536,1.7863058251939887,1.98376180398694,1.9879826932339124,1.9826377097595231,2.011533872972285,2.045259067565536,2.0462701737166618,2.008977307462776,1.8899982946374176,1.8698073603042253,1.9267923832123306,1.9909461424700587,2.0758513107529404,2.0820193819172568,Expenditure on biodiversity & landscape protection
Italy,0.594995360452844,0.609634831030948,0.653448777781643,0.706761252729711,0.732928335045173,0.766161933060709,1.4823584620645969,1.5586639304014998,1.5285084244346252,1.5072446205000416,1.5023740723978258,1.3822489658250505,1.4895593371479525,1.5635351795415398,1.6750609920012987,1.6710948259115899,1.702495699788204,1.7190781101960837,1.8474035033328162,1.7995520475849587,1.8045676003032571,1.8078932129407848,1.7428378439853205,1.7262140317976098,1.7951356787947226,1.9637166859791424,1.9114188917082295,Expenditure on biodiversity & landscape protection
Spain,1.53975132544522,1.5484163176359562,1.5915570284017522,1.6359269478599046,1.7409078487972467,1.418227339311045,1.7061511313237077,1.83656370738788,1.8776814672440314,1.7460267593785233,1.7393517275439783,1.8690546042479603,1.9008143823701424,1.8568038495197559,2.01304937797092,2.0652385688942627,1.899295237755026,1.8423061219145778,1.711376902782188,1.7609707040976277,1.7164227581918916,1.6697191697191702,1.6871122081959466,1.6817659373418363,1.719256654947262,1.8801227864392998,1.9379899640101799,Expenditure on biodiversity & landscape protection
Poland,0.585699975463798,0.924000662290496,0.553286974215319,0.540288431546438,0.593103396532311,0.540327037289341,1.219562595440626,1.2528719343512842,1.2283508475042444,1.1186469922831792,1.2982943279681267,1.3094809073307556,1.208581229888032,1.3091461007048388,1.403910790222769,1.474243758913801,1.3794590044422905,1.1797153998195447,1.2549887689126284,1.243007865271362,1.2017430786234797,0.8350754081005561,0.7770575504114757,0.9809356816108937,1.0464323794272927,1.121771857593093,1.1226800924206624,Expenditure on biodiversity & landscape protection
EU,0.9613384182299038,1.0241958079721671,0.9687997400094919,0.965956590683912,1.0012544286821303,1.1087946943310278,1.4557845418274096,1.480353970800723,1.494959594971107,1.438351961310087,1.478781015659954,1.4948126541461382,1.4721245249296904,1.5066068595514928,1.6486083638822493,1.6641231376951897,1.626594486347761,1.579877848938288,1.6044910132010817,1.5977504041861201,1.5683514147233382,1.4629224866713222,1.434574785084199,1.4936011292932396,1.5482401917540225,1.679706123499151,1.6411541432792607,Expenditure on biodiversity and landscape protection
