Country,Indicator,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Poland,Particulates (PM2.5),11.109,11.558,10.949,13.388,12.015,11.888,11.952,10.607,9.185,8.923,7.669,7.966,8.139,7.949,8.14,8.44,9.059,8.512,8.69,8.6,9.349,8.707,8.785,8.477,7.811,7.73,7.997,7.799,9.714,8.445,7.994,7.79
Poland,Carbon Monoxide,96.211,112.605,112.306,129.962,121.282,123.294,127.469,117.314,101.651,102.115,87.785,82.993,83.11,79.385,79.904,80.422,86.817,80.53,83.032,81.933,88.458,80.18,80.738,77.927,74.832,73.955,77.417,76.895,80.631,70.767,67.323,66.041
Poland,Non-methane Volatile Organic Compounds,22.112,23.222,22.763,24.955,24.948,24.85,25.018,24.23,22.499,22.266,21.583,20.854,21.108,20.258,21.006,20.88,22.433,21.868,22.474,21.189,20.155,19.923,19.355,18.145,18.466,19.075,19.355,19.411,19.667,19.038,19.63,18.745
Spain,Sulphur Oxides,52.739,53.191,52.487,49.678,48.162,44.491,39.006,40.526,37.163,37.383,34.218,32.611,35.574,28.955,29.233,27.645,24.255,23.132,8.36,6.158,5.258,6.024,6.09,4.76,5.221,5.605,4.667,4.728,4.249,3.201,2.692,2.593
Spain,Nitrogen Oxides,33.704,34.651,34.949,33.187,33.169,33.18,32.677,33.075,32.848,32.801,32.84,31.854,31.914,31.489,31.323,30.189,29.028,28.494,23.931,21.238,20.011,19.922,18.753,17.344,16.988,17.392,16.28,16.082,15.733,14.281,12.611,13.048
Spain,Particulates (PM10),,,,,,,,,,,7.283,7.024,6.864,7.18,6.765,6.516,6.581,6.416,5.593,5.427,5.236,5.374,4.835,5.162,4.709,5.122,4.619,4.563,4.913,4.489,4.47,4.549
Spain,Particulates (PM2.5),,,,,,,,,,,4.57,4.372,4.154,4.445,4.031,3.817,3.847,3.78,3.414,3.529,3.451,3.516,3.086,3.517,3.065,3.3,2.88,2.87,3.183,2.756,2.816,2.852
Spain,Carbon Monoxide,105.565,107.129,106.983,98.428,91.246,78.403,88.685,83.993,80.46,73.643,64.751,60.761,54.442,56.903,50.518,45.633,45.099,43.545,39.634,39.804,39.893,39.459,32.932,39.739,34.302,37.339,34.359,34.199,38.55,32.469,32.163,34.545
Spain,Non-methane Volatile Organic Compounds,26.388,26.438,26.079,23.9,23.803,23.13,23.951,23.721,23.797,22.952,21.863,21.03,20.364,18.472,17.748,16.686,15.792,15.078,13.9,13.135,12.897,12.43,11.906,11.593,11.563,11.847,11.805,12.129,12.299,11.675,12.135,11.604
EU,Carbon Monoxide,135.5912,134.6126,128.5966,126.5692,116.8214,113.2438,112.0124,104.85340000000001,97.26820000000001,91.85979999999999,81.65119999999999,77.06660000000001,72.2694,70.6042,67.22200000000001,64.39999999999999,63.098,60.683800000000005,60.1294,55.81200000000001,59.0056,52.38440000000001,50.5472,50.7074,45.8532,46.423199999999994,46.123000000000005,45.964999999999996,46.1534,42.565599999999996,39.452200000000005,41.227999999999994
EU,Nitrogen Oxides,34.948,34.6084,34.2726,32.8668,31.783799999999996,31.216400000000004,30.696999999999996,29.764,28.800800000000002,28.0368,26.867399999999996,26.113599999999998,25.397399999999998,24.9608,24.5012,23.8764,23.2464,22.490199999999998,20.615199999999998,19.2226,18.857599999999998,18.415399999999998,17.7054,16.906,16.287599999999998,16.0364,15.559000000000001,15.331,14.472800000000001,13.509200000000002,12.175,12.2922
EU,Non-methane Volatile Organic Compounds,36.9478,35.829,34.766200000000005,33.753400000000006,31.9338,31.070999999999998,30.630000000000003,29.7266,28.754399999999997,27.6142,25.882799999999996,24.829600000000003,23.7464,22.775799999999997,22.0344,21.3764,21.0476,20.1398,19.560200000000002,18.3072,18.185,17.198,16.7814,16.189600000000002,15.7032,15.6142,15.554399999999998,15.769400000000001,15.5348,15.0822,14.991,14.9542
EU,Particulates (PM10),12.378,13.482999999999999,11.560333333333332,11.992333333333335,11.086999999999998,9.093250000000001,8.991499999999998,8.282,7.79725,7.51325,6.929600000000001,6.8596,7.1384,6.6818,6.5938,6.5518,6.529000000000001,6.599199999999999,6.2656,6.074599999999999,6.3698,6.005999999999999,5.7146,5.681,5.176,5.331999999999999,5.1924,5.1692,5.6676,5.103800000000001,4.8664000000000005,4.8584000000000005
EU,Particulates (PM2.5),7.850333333333334,8.373666666666667,7.895666666666666,8.602666666666666,7.873,6.49475,6.4975000000000005,5.9712499999999995,5.57125,5.38675,4.807,4.7654000000000005,4.606199999999999,4.6432,4.478,4.483,4.526000000000001,4.4326,4.397,4.287,4.4698,4.036,4.0518,4.0602,3.6208,3.679,3.621,3.5660000000000003,3.9244,3.5409999999999995,3.35,3.3918
EU,Sulphur Oxides,48.558800000000005,44.267,39.9336,37.4958,34.8662,31.654999999999994,29.6204,27.563799999999997,24.9484,22.931,20.0156,19.0408,18.6592,16.6324,16.264000000000003,15.456399999999999,14.9608,14.007,9.4426,7.8870000000000005,7.898200000000001,7.543000000000001,7.270599999999999,6.586999999999999,6.1878,6.1306,5.181400000000001,5.078799999999999,4.786,3.9912,3.675,3.7129999999999996
