Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Indicator
China,2667.642,2717.4300000000003,2729.7349999999997,2904.854,2811.6670000000004,2967.082,3119.1679999999997,3374.9839999999995,3923.365,4576.874999999999,5239.255,5766.812999999999,6272.095,6468.922000000001,6936.266,7614.099000000001,8337.193,8570.850000000002,8948.007,8919.245,8810.439,8839.606,9069.03,9493.476999999997,CO2 Emissions
Germany,644.8360000000001,700.5340000000001,632.615,632.581,612.2179999999998,619.6580000000001,630.7249999999999,622.663,634.3660000000001,630.4800000000001,618.775,635.494,639.4859999999999,635.493,570.3580000000001,617.686,603.1809999999998,604.717,613.799,590.5010000000001,605.278,603.0469999999998,574.4739999999999,554.9159999999999,CO2 Emissions
France,255.03300000000002,268.502,264.24300000000005,279.69599999999997,271.52799999999996,268.872,261.614,258.90799999999996,263.01099999999997,261.934,267.112,262.95300000000003,264.564,248.31699999999998,234.745,240.975,238.508,239.613,238.98,217.144,211.57799999999997,210.99300000000002,220.057,215.08400000000003,CO2 Emissions
Italy,296.8709999999999,287.543,292.31899999999996,294.649,294.15999999999997,303.53799999999995,297.055,305.45799999999997,320.74299999999994,330.793,336.45400000000006,339.29200000000003,337.51699999999994,339.30199999999996,285.567,301.33099999999996,299.0030000000001,282.327,256.03299999999996,239.082,243.228,231.50199999999998,241.67499999999995,236.99800000000002,CO2 Emissions
Spain,181.83500000000004,169.985,189.466,192.08800000000002,210.22499999999997,227.35099999999994,226.49500000000003,242.54500000000004,245.919,261.644,277.954,268.88399999999996,278.4549999999999,252.23400000000004,215.71999999999997,199.81900000000005,209.309,211.04,182.751,180.344,190.93699999999998,184.501,203.618,197.308,CO2 Emissions
Poland,284.37399999999997,297.44500000000005,289.67299999999994,271.4220000000001,260.024,253.72899999999998,251.185,244.392,253.98099999999997,255.808,252.016,259.611,260.701,253.955,242.495,252.86999999999998,252.93900000000002,244.157,241.24800000000005,230.049,230.81200000000004,235.95699999999997,246.19100000000003,246.93200000000002,CO2 Emissions
EU,,,1668.316,1670.436,1648.1549999999997,1673.1480000000001,1667.074,1673.9660000000001,1718.02,1740.6590000000003,1752.311,1766.234,1780.723,1729.301,1548.8850000000002,1612.6809999999998,1602.94,1581.8539999999998,1532.811,1457.1200000000001,1481.833,1465.9999999999998,1486.0149999999999,1451.238,CO2 Emissions
